"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"1194",1194,"Win",30,9,7,5,24,0.5,0.527,0.375,0.7647,46,20,10,3,6,18,0.4096,0.4516,0.2857,0.8,40
"1195",1195,"Win",26,15,12,4,22,0.4432,0.4714,0.3333,0.8125,43,19,19,8,4,25,0.4198,0.4906,0.2857,0.875,46
"1196",1196,"Loss",19,19,8,4,25,0.4198,0.4906,0.2857,0.875,46,26,15,12,4,22,0.4432,0.4714,0.3333,0.8125,43
"1197",1197,"Loss",21,18,8,6,24,0.4156,0.4211,0.4,0.5556,43,18,11,9,9,23,0.3656,0.4028,0.2381,0.6774,58
"1198",1198,"Win",18,11,9,9,23,0.3656,0.4028,0.2381,0.6774,58,21,18,8,6,24,0.4156,0.4211,0.4,0.5556,43
"1199",1199,"Loss",20,13,7,4,15,0.4318,0.4754,0.3333,0.8571,37,27,15,11,2,22,0.5476,0.625,0.3,0.5882,40
"1200",1200,"Win",27,15,11,2,22,0.5476,0.625,0.3,0.5882,40,20,13,7,4,15,0.4318,0.4754,0.3333,0.8571,37
"1201",1201,"Win",29,8,9,7,13,0.5,0.4933,0.5333,0.8667,43,26,14,5,3,14,0.5063,0.5345,0.4286,0.8,42
"1202",1202,"Loss",26,14,5,3,14,0.5063,0.5345,0.4286,0.8,42,29,8,9,7,13,0.5,0.4933,0.5333,0.8667,43
"1203",1203,"Loss",22,18,13,4,33,0.3976,0.4265,0.2667,0.72,42,24,21,9,7,23,0.4615,0.4576,0.4737,0.7097,50
"1204",1204,"Win",24,21,9,7,23,0.4615,0.4576,0.4737,0.7097,50,22,18,13,4,33,0.3976,0.4265,0.2667,0.72,42
"1205",1205,"Loss",22,24,10,5,28,0.4605,0.5192,0.3333,0.8333,39,26,24,9,6,33,0.4839,0.4933,0.4444,0.6765,50
"1206",1206,"Win",26,24,9,6,33,0.4839,0.4933,0.4444,0.6765,50,22,24,10,5,28,0.4605,0.5192,0.3333,0.8333,39
"1207",1207,"Loss",18,11,5,1,22,0.4691,0.5303,0.2,0.8125,36,25,15,4,4,27,0.4831,0.4844,0.48,0.7619,49
"1208",1208,"Win",25,15,4,4,27,0.4831,0.4844,0.48,0.7619,49,18,11,5,1,22,0.4691,0.5303,0.2,0.8125,36
"1209",1209,"Win",22,20,8,11,14,0.4928,0.5,0.4706,0.5455,34,16,15,10,2,12,0.4217,0.4247,0.4,1,35
"1210",1210,"Loss",16,15,10,2,12,0.4217,0.4247,0.4,1,35,22,20,8,11,14,0.4928,0.5,0.4706,0.5455,34
"1211",1211,"Win",20,13,7,3,23,0.3919,0.4222,0.3448,0.7805,47,17,10,5,10,27,0.4198,0.4242,0.4,0.8333,40
"1212",1212,"Loss",17,10,5,10,27,0.4198,0.4242,0.4,0.8333,40,20,13,7,3,23,0.3919,0.4222,0.3448,0.7805,47
"1213",1213,"Loss",24,20,12,6,21,0.4865,0.5167,0.3571,0.7308,30,32,22,11,5,23,0.5775,0.5636,0.625,0.5714,32
"1214",1214,"Win",32,22,11,5,23,0.5775,0.5636,0.625,0.5714,32,24,20,12,6,21,0.4865,0.5167,0.3571,0.7308,30
"1215",1215,"Win",23,19,3,4,22,0.4189,0.38,0.5,0.7,52,14,5,11,2,20,0.4048,0.4444,0.2857,0.6471,37
"1216",1216,"Loss",14,5,11,2,20,0.4048,0.4444,0.2857,0.6471,37,23,19,3,4,22,0.4189,0.38,0.5,0.7,52
"1217",1217,"Loss",32,14,10,5,16,0.4578,0.5094,0.3667,0.5455,39,25,17,4,2,21,0.52,0.5094,0.5455,0.8889,39
"1218",1218,"Win",25,17,4,2,21,0.52,0.5094,0.5455,0.8889,39,32,14,10,5,16,0.4578,0.5094,0.3667,0.5455,39
"1219",1219,"Win",22,14,8,3,12,0.4198,0.4921,0.1667,0.7308,47,25,16,6,6,16,0.4405,0.4714,0.2857,0.6364,42
"1220",1220,"Loss",25,16,6,6,16,0.4405,0.4714,0.2857,0.6364,42,22,14,8,3,12,0.4198,0.4921,0.1667,0.7308,47
"1221",1221,"Loss",15,16,5,9,16,0.3951,0.4531,0.1765,0.6957,50,25,8,9,11,20,0.4194,0.3947,0.5294,0.6667,40
"1222",1222,"Win",25,8,9,11,20,0.4194,0.3947,0.5294,0.6667,40,15,16,5,9,16,0.3951,0.4531,0.1765,0.6957,50
"1223",1223,"Win",23,15,6,1,18,0.4643,0.4769,0.4211,0.7059,44,25,14,5,3,17,0.4568,0.5263,0.2917,0.7778,42
"1224",1224,"Loss",25,14,5,3,17,0.4568,0.5263,0.2917,0.7778,42,23,15,6,1,18,0.4643,0.4769,0.4211,0.7059,44
"1225",1225,"Loss",24,18,5,8,18,0.381,0.3731,0.4118,0.8636,48,28,13,7,7,22,0.4512,0.5,0.1667,0.8636,39
"1226",1226,"Win",28,13,7,7,22,0.4512,0.5,0.1667,0.8636,39,24,18,5,8,18,0.381,0.3731,0.4118,0.8636,48
"1227",1227,"Loss",27,13,4,2,20,0.4524,0.4688,0.4,0.75,41,23,8,8,5,13,0.4615,0.5147,0.3043,0.6667,54
"1228",1228,"Win",23,8,8,5,13,0.4615,0.5147,0.3043,0.6667,54,27,13,4,2,20,0.4524,0.4688,0.4,0.75,41
"1229",1229,"Loss",29,16,6,3,22,0.4421,0.4304,0.5,0.7692,46,24,15,10,5,13,0.519,0.5397,0.4375,0.6364,38
"1230",1230,"Win",24,15,10,5,13,0.519,0.5397,0.4375,0.6364,38,29,16,6,3,22,0.4421,0.4304,0.5,0.7692,46
"1231",1231,"Win",24,16,6,4,26,0.5256,0.5098,0.5556,0.8571,37,15,11,8,7,17,0.4643,0.5147,0.25,0.7143,35
"1232",1232,"Loss",15,11,8,7,17,0.4643,0.5147,0.25,0.7143,35,24,16,6,4,26,0.5256,0.5098,0.5556,0.8571,37
"1233",1233,"Win",31,18,7,6,22,0.4943,0.5,0.48,0.5,45,18,19,11,8,15,0.4079,0.4098,0.4,0.8276,41
"1234",1234,"Loss",18,19,11,8,15,0.4079,0.4098,0.4,0.8276,41,31,18,7,6,22,0.4943,0.5,0.48,0.5,45
"1235",1235,"Loss",26,9,8,1,30,0.5,0.5263,0.4516,0.7778,28,26,14,5,3,21,0.5488,0.6,0.4091,0.6316,53
"1236",1236,"Win",26,14,5,3,21,0.5488,0.6,0.4091,0.6316,53,26,9,8,1,30,0.5,0.5263,0.4516,0.7778,28
"1237",1237,"Loss",15,15,5,8,13,0.4247,0.4286,0.4118,0.75,34,22,12,7,8,28,0.4896,0.5181,0.3077,0.8,52
"1238",1238,"Win",22,12,7,8,28,0.4896,0.5181,0.3077,0.8,52,15,15,5,8,13,0.4247,0.4286,0.4118,0.75,34
"1239",1239,"Win",19,15,9,4,16,0.4405,0.4844,0.3,0.6875,45,25,13,7,7,17,0.4578,0.5147,0.2,0.6667,37
"1240",1240,"Loss",25,13,7,7,17,0.4578,0.5147,0.2,0.6667,37,19,15,9,4,16,0.4405,0.4844,0.3,0.6875,45
"1241",1241,"Win",22,15,13,8,12,0.4651,0.4923,0.381,0.68,41,24,23,8,7,21,0.4458,0.5306,0.3235,0.7692,38
"1242",1242,"Loss",24,23,8,7,21,0.4458,0.5306,0.3235,0.7692,38,22,15,13,8,12,0.4651,0.4923,0.381,0.68,41
"1243",1243,"Loss",20,12,6,4,22,0.4146,0.4348,0.3077,0.7143,37,21,15,5,5,18,0.4366,0.4912,0.2143,0.7692,43
"1244",1244,"Win",21,15,5,5,18,0.4366,0.4912,0.2143,0.7692,43,20,12,6,4,22,0.4146,0.4348,0.3077,0.7143,37
"1245",1245,"Loss",24,13,6,4,20,0.4691,0.4375,0.5882,0.6957,46,29,9,9,3,20,0.5375,0.6364,0.32,0.5217,39
"1246",1246,"Win",29,9,9,3,20,0.5375,0.6364,0.32,0.5217,39,24,13,6,4,20,0.4691,0.4375,0.5882,0.6957,46
"1247",1247,"Loss",20,15,9,7,19,0.3605,0.3529,0.3889,0.7308,51,24,14,8,7,18,0.4471,0.4795,0.25,0.6842,51
"1248",1248,"Win",24,14,8,7,18,0.4471,0.4795,0.25,0.6842,51,20,15,9,7,19,0.3605,0.3529,0.3889,0.7308,51
"1249",1249,"Loss",16,13,8,2,20,0.375,0.4211,0.2609,0.8235,34,29,17,4,4,17,0.5641,0.6269,0.1818,0.8333,42
"1250",1250,"Win",29,17,4,4,17,0.5641,0.6269,0.1818,0.8333,42,16,13,8,2,20,0.375,0.4211,0.2609,0.8235,34
"1251",1251,"Win",30,12,14,4,22,0.4778,0.5211,0.3158,0.875,30,23,25,8,9,22,0.481,0.4853,0.4545,0.625,49
"1252",1252,"Loss",23,25,8,9,22,0.481,0.4853,0.4545,0.625,49,30,12,14,4,22,0.4778,0.5211,0.3158,0.875,30
"1253",1253,"Loss",20,19,9,7,20,0.4615,0.5,0.3125,0.8148,39,20,15,10,3,21,0.4405,0.5082,0.2609,0.8889,40
"1254",1254,"Win",20,15,10,3,21,0.4405,0.5082,0.2609,0.8889,40,20,19,9,7,20,0.4615,0.5,0.3125,0.8148,39
"1255",1255,"Win",25,10,3,7,20,0.5,0.5645,0.25,0.7895,38,22,14,6,4,12,0.4321,0.4286,0.4444,0.85,41
"1256",1256,"Loss",22,14,6,4,12,0.4321,0.4286,0.4444,0.85,41,25,10,3,7,20,0.5,0.5645,0.25,0.7895,38
"1257",1257,"Win",12,12,7,5,23,0.3855,0.4364,0.2857,0.85,49,18,12,6,3,23,0.4079,0.4828,0.1667,0.75,46
"1258",1258,"Loss",18,12,6,3,23,0.4079,0.4828,0.1667,0.75,46,12,12,7,5,23,0.3855,0.4364,0.2857,0.85,49
"1259",1259,"Loss",20,15,5,4,25,0.3976,0.4154,0.3333,0.6154,45,18,17,7,4,23,0.4225,0.4545,0.3125,0.7568,43
"1260",1260,"Win",18,17,7,4,23,0.4225,0.4545,0.3125,0.7568,43,20,15,5,4,25,0.3976,0.4154,0.3333,0.6154,45
"1261",1261,"Loss",27,17,8,2,20,0.4432,0.4865,0.2143,0.6061,48,29,16,8,8,27,0.5783,0.6061,0.4706,0.5882,35
"1262",1262,"Win",29,16,8,8,27,0.5783,0.6061,0.4706,0.5882,35,27,17,8,2,20,0.4432,0.4865,0.2143,0.6061,48
"1263",1263,"Loss",34,17,6,6,20,0.4674,0.4531,0.5,0.6154,41,27,16,10,5,17,0.5233,0.5493,0.4,0.7727,44
"1264",1264,"Win",27,16,10,5,17,0.5233,0.5493,0.4,0.7727,44,34,17,6,6,20,0.4674,0.4531,0.5,0.6154,41
"1265",1265,"Loss",28,21,8,1,30,0.4516,0.473,0.3684,1,48,31,12,10,6,21,0.4468,0.5172,0.3333,0.75,49
"1266",1266,"Win",31,12,10,6,21,0.4468,0.5172,0.3333,0.75,49,28,21,8,1,30,0.4516,0.473,0.3684,1,48
"1267",1267,"Loss",11,19,9,2,18,0.4722,0.5,0.3333,0.6957,35,24,12,12,4,17,0.5584,0.6333,0.2941,0.8261,36
"1268",1268,"Win",24,12,12,4,17,0.5584,0.6333,0.2941,0.8261,36,11,19,9,2,18,0.4722,0.5,0.3333,0.6957,35
"1269",1269,"Loss",16,14,6,8,11,0.4085,0.4815,0.1765,0.64,37,25,12,6,3,21,0.5222,0.5309,0.4444,0.375,45
"1270",1270,"Win",25,12,6,3,21,0.5222,0.5309,0.4444,0.375,45,16,14,6,8,11,0.4085,0.4815,0.1765,0.64,37
"1271",1271,"Win",23,22,8,7,24,0.4789,0.46,0.5238,0.8077,44,20,17,8,7,26,0.3875,0.4667,0.15,0.85,34
"1272",1272,"Loss",20,17,8,7,26,0.3875,0.4667,0.15,0.85,34,23,22,8,7,24,0.4789,0.46,0.5238,0.8077,44
"1273",1273,"Win",29,15,11,1,17,0.4831,0.5152,0.3913,0.75,46,20,14,8,7,19,0.4615,0.4932,0.3333,0.9444,47
"1274",1274,"Loss",20,14,8,7,19,0.4615,0.4932,0.3333,0.9444,47,29,15,11,1,17,0.4831,0.5152,0.3913,0.75,46
"1275",1275,"Loss",12,11,6,5,19,0.3462,0.3898,0.2105,0.8788,37,22,15,4,8,26,0.4659,0.4706,0.45,0.6667,56
"1276",1276,"Win",22,15,4,8,26,0.4659,0.4706,0.45,0.6667,56,12,11,6,5,19,0.3462,0.3898,0.2105,0.8788,37
"1277",1277,"Win",27,20,10,6,20,0.4868,0.5849,0.2609,0.8333,47,15,18,11,3,27,0.4186,0.3944,0.5333,0.7143,39
"1278",1278,"Loss",15,18,11,3,27,0.4186,0.3944,0.5333,0.7143,39,27,20,10,6,20,0.4868,0.5849,0.2609,0.8333,47
"1279",1279,"Loss",16,10,14,4,14,0.4198,0.4627,0.2143,0.8125,30,26,18,7,3,14,0.5375,0.5763,0.4286,0.5385,45
"1280",1280,"Win",26,18,7,3,14,0.5375,0.5763,0.4286,0.5385,45,16,10,14,4,14,0.4198,0.4627,0.2143,0.8125,30
"1281",1281,"Loss",19,17,5,6,16,0.4085,0.4464,0.2667,0.9167,41,20,9,6,2,14,0.4304,0.4493,0.3,0.7895,42
"1282",1282,"Win",20,9,6,2,14,0.4304,0.4493,0.3,0.7895,42,19,17,5,6,16,0.4085,0.4464,0.2667,0.9167,41
"1283",1283,"Win",12,15,8,4,22,0.4744,0.4627,0.5455,0.8636,39,22,15,6,4,23,0.4878,0.5385,0.2941,0.7222,39
"1284",1284,"Loss",22,15,6,4,23,0.4878,0.5385,0.2941,0.7222,39,12,15,8,4,22,0.4744,0.4627,0.5455,0.8636,39
"1285",1285,"Loss",17,18,6,4,17,0.3457,0.4444,0.1481,0.8696,47,16,11,6,5,22,0.5067,0.5714,0.3158,0.6818,34
"1286",1286,"Win",16,11,6,5,22,0.5067,0.5714,0.3158,0.6818,34,17,18,6,4,17,0.3457,0.4444,0.1481,0.8696,47
"1287",1287,"Loss",23,17,8,4,24,0.4805,0.4737,0.5,0.7391,30,21,17,5,10,22,0.5068,0.5161,0.4545,0.8846,38
"1288",1288,"Win",21,17,5,10,22,0.5068,0.5161,0.4545,0.8846,38,23,17,8,4,24,0.4805,0.4737,0.5,0.7391,30
"1289",1289,"Loss",21,10,7,10,20,0.45,0.4545,0.4444,0.8571,31,31,12,6,3,18,0.4943,0.5254,0.4286,0.7778,50
"1290",1290,"Win",31,12,6,3,18,0.4943,0.5254,0.4286,0.7778,50,21,10,7,10,20,0.45,0.4545,0.4444,0.8571,31
"1291",1291,"Loss",30,17,4,0,19,0.5062,0.5072,0.5,0.7857,44,20,9,7,1,16,0.494,0.5763,0.2917,0.8261,38
"1292",1292,"Win",20,9,7,1,16,0.494,0.5763,0.2917,0.8261,38,30,17,4,0,19,0.5062,0.5072,0.5,0.7857,44
"1293",1293,"Loss",25,16,8,4,25,0.4194,0.4,0.4643,1,50,24,12,7,7,15,0.4059,0.3944,0.4333,0.7,58
"1294",1294,"Win",24,12,7,7,15,0.4059,0.3944,0.4333,0.7,58,25,16,8,4,25,0.4194,0.4,0.4643,1,50
"1295",1295,"Loss",20,20,8,5,16,0.4205,0.4394,0.3636,0.5,40,34,17,13,7,21,0.5281,0.5862,0.4194,0.8235,51
"1296",1296,"Win",34,17,13,7,21,0.5281,0.5862,0.4194,0.8235,51,20,20,8,5,16,0.4205,0.4394,0.3636,0.5,40
"1297",1297,"Loss",21,22,9,5,24,0.5432,0.6167,0.3333,0.8333,41,28,14,17,5,18,0.5301,0.5616,0.3,0.8846,28
"1298",1298,"Win",28,14,17,5,18,0.5301,0.5616,0.3,0.8846,28,21,22,9,5,24,0.5432,0.6167,0.3333,0.8333,41
"1299",1299,"Loss",25,15,6,4,22,0.4938,0.5077,0.4375,0.7647,41,23,14,10,1,19,0.4667,0.48,0.44,0.9524,32
"1300",1300,"Win",23,14,10,1,19,0.4667,0.48,0.44,0.9524,32,25,15,6,4,22,0.4938,0.5077,0.4375,0.7647,41
"1301",1301,"Loss",19,21,6,6,27,0.4063,0.4658,0.2174,0.75,53,24,17,11,8,20,0.4091,0.4559,0.25,0.8519,46
"1302",1302,"Win",24,17,11,8,20,0.4091,0.4559,0.25,0.8519,46,19,21,6,6,27,0.4063,0.4658,0.2174,0.75,53
"1303",1303,"Loss",24,10,9,6,26,0.4444,0.4923,0.25,0.7692,39,29,14,6,3,20,0.5541,0.5965,0.4118,0.5517,43
"1304",1304,"Win",29,14,6,3,20,0.5541,0.5965,0.4118,0.5517,43,24,10,9,6,26,0.4444,0.4923,0.25,0.7692,39
"1305",1305,"Win",20,16,6,7,19,0.4286,0.4211,0.45,0.6957,43,18,15,10,7,17,0.3636,0.4028,0.1875,0.8889,47
"1306",1306,"Loss",18,15,10,7,17,0.3636,0.4028,0.1875,0.8889,47,20,16,6,7,19,0.4286,0.4211,0.45,0.6957,43
"1307",1307,"Win",25,12,8,7,14,0.5063,0.5179,0.4783,0.7222,37,26,15,9,2,21,0.4444,0.4478,0.4348,0.75,51
"1308",1308,"Loss",26,15,9,2,21,0.4444,0.4478,0.4348,0.75,51,25,12,8,7,14,0.5063,0.5179,0.4783,0.7222,37
"1309",1309,"Loss",21,19,7,2,21,0.6,0.6905,0.4348,0.8,30,22,14,6,3,17,0.5417,0.5111,0.5926,0.7059,26
"1310",1310,"Win",22,14,6,3,17,0.5417,0.5111,0.5926,0.7059,26,21,19,7,2,21,0.6,0.6905,0.4348,0.8,30
"1311",1311,"Loss",22,18,7,6,15,0.4416,0.5,0.2353,0.8214,38,26,15,8,0,24,0.5114,0.5195,0.4545,0.8333,44
"1312",1312,"Win",26,15,8,0,24,0.5114,0.5195,0.4545,0.8333,44,22,18,7,6,15,0.4416,0.5,0.2353,0.8214,38
"1313",1313,"Loss",28,19,9,4,13,0.4394,0.5098,0.2,0.7586,39,33,13,8,2,23,0.5122,0.5538,0.3529,0.6667,37
"1314",1314,"Win",33,13,8,2,23,0.5122,0.5538,0.3529,0.6667,37,28,19,9,4,13,0.4394,0.5098,0.2,0.7586,39
"1315",1315,"Win",26,17,6,4,15,0.5479,0.5333,0.6154,0.7895,38,25,10,8,4,14,0.5422,0.5541,0.4444,0.6667,27
"1316",1316,"Loss",25,10,8,4,14,0.5422,0.5541,0.4444,0.6667,27,26,17,6,4,15,0.5479,0.5333,0.6154,0.7895,38
"1317",1317,"Win",24,11,14,3,19,0.439,0.4576,0.3913,0.6,35,20,20,4,2,19,0.4805,0.5152,0.2727,0.8095,45
"1318",1318,"Loss",20,20,4,2,19,0.4805,0.5152,0.2727,0.8095,45,24,11,14,3,19,0.439,0.4576,0.3913,0.6,35
"1319",1319,"Win",22,14,4,8,19,0.5349,0.5634,0.4,0.8,49,28,11,7,4,18,0.4368,0.4706,0.3158,0.8696,37
"1320",1320,"Loss",28,11,7,4,18,0.4368,0.4706,0.3158,0.8696,37,22,14,4,8,19,0.5349,0.5634,0.4,0.8,49
"1321",1321,"Loss",24,15,9,5,12,0.4051,0.5,0.2222,0.7778,36,23,20,8,3,13,0.5,0.5333,0.4483,0.8333,45
"1322",1322,"Win",23,20,8,3,13,0.5,0.5333,0.4483,0.8333,45,24,15,9,5,12,0.4051,0.5,0.2222,0.7778,36
"1323",1323,"Loss",12,12,3,5,20,0.3951,0.3768,0.5,0.7143,41,22,11,5,14,20,0.4487,0.4667,0.3889,0.64,48
"1324",1324,"Win",22,11,5,14,20,0.4487,0.4667,0.3889,0.64,48,12,12,3,5,20,0.3951,0.3768,0.5,0.7143,41
"1325",1325,"Loss",23,18,6,5,27,0.4588,0.4516,0.4783,0.7059,43,23,15,10,4,23,0.4744,0.4688,0.5,0.7,41
"1326",1326,"Win",23,15,10,4,23,0.4744,0.4688,0.5,0.7,41,23,18,6,5,27,0.4588,0.4516,0.4783,0.7059,43
"1327",1327,"Win",27,6,12,4,18,0.5281,0.5636,0.4706,0.8333,44,19,16,2,9,19,0.3951,0.4286,0.2778,0.5789,39
"1328",1328,"Loss",19,16,2,9,19,0.3951,0.4286,0.2778,0.5789,39,27,6,12,4,18,0.5281,0.5636,0.4706,0.8333,44
"1329",1329,"Win",31,14,8,9,23,0.5357,0.5,0.6875,0.7,39,27,12,8,4,13,0.4286,0.4848,0.2222,0.76,36
"1330",1330,"Loss",27,12,8,4,13,0.4286,0.4848,0.2222,0.76,36,31,14,8,9,23,0.5357,0.5,0.6875,0.7,39
"1331",1331,"Win",28,10,13,8,21,0.4694,0.4667,0.4783,0.6364,48,18,21,7,4,20,0.4048,0.4384,0.1818,0.7143,51
"1332",1332,"Loss",18,21,7,4,20,0.4048,0.4384,0.1818,0.7143,51,28,10,13,8,21,0.4694,0.4667,0.4783,0.6364,48
"1333",1333,"Loss",31,16,8,2,21,0.5,0.4928,0.5333,0.8,40,24,16,8,5,14,0.4535,0.5,0.3571,0.7826,46
"1334",1334,"Win",24,16,8,5,14,0.4535,0.5,0.3571,0.7826,46,31,16,8,2,21,0.5,0.4928,0.5333,0.8,40
"1335",1335,"Loss",21,9,8,0,25,0.4239,0.411,0.4737,0.9048,37,34,15,7,4,17,0.4937,0.587,0.3636,0.6364,50
"1336",1336,"Win",34,15,7,4,17,0.4937,0.587,0.3636,0.6364,50,21,9,8,0,25,0.4239,0.411,0.4737,0.9048,37
"1337",1337,"Loss",11,14,8,10,17,0.3636,0.4143,0.1667,0.4444,44,23,17,8,4,18,0.4444,0.4328,0.5,0.9048,56
"1338",1338,"Win",23,17,8,4,18,0.4444,0.4328,0.5,0.9048,56,11,14,8,10,17,0.3636,0.4143,0.1667,0.4444,44
"1339",1339,"Loss",22,19,5,6,15,0.4,0.434,0.3182,0.8095,46,27,11,9,6,17,0.4211,0.4146,0.4615,0.6,43
"1340",1340,"Win",27,11,9,6,17,0.4211,0.4146,0.4615,0.6,43,22,19,5,6,15,0.4,0.434,0.3182,0.8095,46
"1341",1341,"Loss",13,20,11,1,19,0.3919,0.4035,0.3529,0.6538,39,22,17,9,4,22,0.5342,0.5965,0.3125,0.8,38
"1342",1342,"Win",22,17,9,4,22,0.5342,0.5965,0.3125,0.8,38,13,20,11,1,19,0.3919,0.4035,0.3529,0.6538,39
"1343",1343,"Loss",14,11,4,0,13,0.4935,0.6078,0.2692,0.875,31,30,9,4,4,18,0.5732,0.6875,0.4118,0.625,36
"1344",1344,"Win",30,9,4,4,18,0.5732,0.6875,0.4118,0.625,36,14,11,4,0,13,0.4935,0.6078,0.2692,0.875,31
"1345",1345,"Loss",16,17,6,5,18,0.3882,0.381,0.4091,0.7391,52,26,17,10,8,18,0.48,0.5306,0.3846,0.6111,36
"1346",1346,"Win",26,17,10,8,18,0.48,0.5306,0.3846,0.6111,36,16,17,6,5,18,0.3882,0.381,0.4091,0.7391,52
"1347",1347,"Win",27,12,10,5,22,0.4945,0.5256,0.3077,0.7692,45,17,19,3,7,19,0.4146,0.4118,0.4286,0.7368,41
"1348",1348,"Loss",17,19,3,7,19,0.4146,0.4118,0.4286,0.7368,41,27,12,10,5,22,0.4945,0.5256,0.3077,0.7692,45
"1349",1349,"Win",16,15,11,3,18,0.4545,0.4706,0.3333,0.6389,45,20,13,9,4,25,0.44,0.5,0.2632,0.7037,38
"1350",1350,"Loss",20,13,9,4,25,0.44,0.5,0.2632,0.7037,38,16,15,11,3,18,0.4545,0.4706,0.3333,0.6389,45
"1351",1351,"Win",21,15,10,3,20,0.5181,0.5,0.5789,0.5714,38,20,19,7,6,13,0.4493,0.5,0.2941,0.75,34
"1352",1352,"Loss",20,19,7,6,13,0.4493,0.5,0.2941,0.75,34,21,15,10,3,20,0.5181,0.5,0.5789,0.5714,38
"1353",1353,"Loss",13,24,12,2,16,0.411,0.4815,0.2105,0.8235,32,28,23,16,5,20,0.5507,0.5472,0.5625,0.8095,35
"1354",1354,"Win",28,23,16,5,20,0.5507,0.5472,0.5625,0.8095,35,13,24,12,2,16,0.411,0.4815,0.2105,0.8235,32
"1355",1355,"Loss",22,12,5,7,32,0.4744,0.5179,0.3636,0.6071,43,24,13,6,5,24,0.5,0.5357,0.3333,0.6957,40
"1356",1356,"Win",24,13,6,5,24,0.5,0.5357,0.3333,0.6957,40,22,12,5,7,32,0.4744,0.5179,0.3636,0.6071,43
"1357",1357,"Loss",22,22,11,6,29,0.4815,0.5741,0.2963,0.6857,42,21,20,9,7,23,0.5122,0.6296,0.2857,0.7222,40
"1358",1358,"Win",21,20,9,7,23,0.5122,0.6296,0.2857,0.7222,40,22,22,11,6,29,0.4815,0.5741,0.2963,0.6857,42
"1359",1359,"Loss",19,20,7,4,16,0.4231,0.4902,0.2963,0.6316,46,21,12,11,2,20,0.4578,0.493,0.25,0.8667,36
"1360",1360,"Win",21,12,11,2,20,0.4578,0.493,0.25,0.8667,36,19,20,7,4,16,0.4231,0.4902,0.2963,0.6316,46
"1361",1361,"Loss",19,13,12,2,23,0.3469,0.3836,0.24,0.7895,48,25,16,5,11,18,0.5556,0.6034,0.3571,0.84,43
"1362",1362,"Win",25,16,5,11,18,0.5556,0.6034,0.3571,0.84,43,19,13,12,2,23,0.3469,0.3836,0.24,0.7895,48
"1363",1363,"Loss",25,15,8,5,18,0.4444,0.5,0.32,0.7083,47,26,13,6,4,21,0.4286,0.4531,0.35,0.84,46
"1364",1364,"Win",26,13,6,4,21,0.4286,0.4531,0.35,0.84,46,25,15,8,5,18,0.4444,0.5,0.32,0.7083,47
"1365",1365,"Loss",12,15,6,4,16,0.3472,0.4151,0.1579,0.6452,37,30,12,7,6,25,0.4691,0.4727,0.4615,0.5882,45
"1366",1366,"Win",30,12,7,6,25,0.4691,0.4727,0.4615,0.5882,45,12,15,6,4,16,0.3472,0.4151,0.1579,0.6452,37
"1367",1367,"Loss",21,11,7,6,22,0.4714,0.5,0.3571,0.75,25,21,17,5,3,22,0.5571,0.6038,0.4118,0.7083,34
"1368",1368,"Win",21,17,5,3,22,0.5571,0.6038,0.4118,0.7083,34,21,11,7,6,22,0.4714,0.5,0.3571,0.75,25
"1369",1369,"Loss",18,13,7,3,22,0.3976,0.3968,0.4,0.7059,40,17,16,5,4,15,0.4211,0.4634,0.3714,0.7308,50
"1370",1370,"Win",17,16,5,4,15,0.4211,0.4634,0.3714,0.7308,50,18,13,7,3,22,0.3976,0.3968,0.4,0.7059,40
"1371",1371,"Loss",23,14,9,3,17,0.4359,0.5156,0.0714,0.9091,29,19,18,7,4,18,0.52,0.5313,0.4545,0.5,40
"1372",1372,"Win",19,18,7,4,18,0.52,0.5313,0.4545,0.5,40,23,14,9,3,17,0.4359,0.5156,0.0714,0.9091,29
"1373",1373,"Loss",19,15,5,6,33,0.3977,0.4265,0.3,0.8846,42,27,11,8,11,21,0.5422,0.5942,0.2857,0.5349,49
"1374",1374,"Win",27,11,8,11,21,0.5422,0.5942,0.2857,0.5349,49,19,15,5,6,33,0.3977,0.4265,0.3,0.8846,42
"1375",1375,"Loss",21,13,12,4,15,0.3797,0.4203,0.1,0.76,35,20,20,6,4,18,0.4737,0.5323,0.2143,0.7368,47
"1376",1376,"Win",20,20,6,4,18,0.4737,0.5323,0.2143,0.7368,47,21,13,12,4,15,0.3797,0.4203,0.1,0.76,35
"1377",1377,"Loss",19,14,10,6,13,0.3789,0.4342,0.1579,1,47,30,15,9,5,13,0.5,0.5758,0.2222,0.6429,48
"1378",1378,"Win",30,15,9,5,13,0.5,0.5758,0.2222,0.6429,48,19,14,10,6,13,0.3789,0.4342,0.1579,1,47
"1379",1379,"Loss",19,16,12,0,19,0.4096,0.4603,0.25,1,31,22,19,9,6,12,0.4487,0.4789,0.1429,0.8235,46
"1380",1380,"Win",22,19,9,6,12,0.4487,0.4789,0.1429,0.8235,46,19,16,12,0,19,0.4096,0.4603,0.25,1,31
