"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8351",8351,"Win",24,12,8,6,14,0.3889,0.4464,0.2941,0.7895,47,21,16,6,3,22,0.439,0.5088,0.28,0.6667,42
"8352",8352,"Loss",21,16,6,3,22,0.439,0.5088,0.28,0.6667,42,24,12,8,6,14,0.3889,0.4464,0.2941,0.7895,47
"8353",8353,"Loss",24,17,10,3,24,0.5244,0.5645,0.4,0.9231,37,29,13,12,5,14,0.525,0.5932,0.3333,0.7917,37
"8354",8354,"Win",29,13,12,5,14,0.525,0.5932,0.3333,0.7917,37,24,17,10,3,24,0.5244,0.5645,0.4,0.9231,37
"8355",8355,"Loss",19,11,1,0,16,0.4487,0.4524,0.4444,0.7143,39,19,6,7,5,18,0.5,0.5283,0.4545,0.7273,42
"8356",8356,"Win",19,6,7,5,18,0.5,0.5283,0.4545,0.7273,42,19,11,1,0,16,0.4487,0.4524,0.4444,0.7143,39
"8357",8357,"Loss",29,16,6,4,13,0.4706,0.5385,0.25,0.75,39,25,10,11,5,11,0.4674,0.5303,0.3077,0.9,46
"8358",8358,"Win",25,10,11,5,11,0.4674,0.5303,0.3077,0.9,46,29,16,6,4,13,0.4706,0.5385,0.25,0.75,39
"8359",8359,"Loss",22,9,6,3,11,0.3636,0.4386,0.2258,0.7857,40,24,13,4,1,16,0.561,0.5938,0.4444,0.6667,50
"8360",8360,"Win",24,13,4,1,16,0.561,0.5938,0.4444,0.6667,50,22,9,6,3,11,0.3636,0.4386,0.2258,0.7857,40
"8361",8361,"Loss",15,11,7,7,16,0.4,0.4528,0.3125,0.8889,43,21,13,6,4,19,0.3956,0.3621,0.4545,0.9444,54
"8362",8362,"Win",21,13,6,4,19,0.3956,0.3621,0.4545,0.9444,54,15,11,7,7,16,0.4,0.4528,0.3125,0.8889,43
"8363",8363,"Loss",16,12,3,7,25,0.369,0.3846,0.3158,0.7647,42,27,8,4,9,19,0.4588,0.4203,0.625,0.8,54
"8364",8364,"Win",27,8,4,9,19,0.4588,0.4203,0.625,0.8,54,16,12,3,7,25,0.369,0.3846,0.3158,0.7647,42
"8365",8365,"Loss",21,16,6,10,21,0.369,0.45,0.1667,0.72,50,17,12,11,6,17,0.3793,0.3944,0.3125,0.7586,50
"8366",8366,"Win",17,12,11,6,17,0.3793,0.3944,0.3125,0.7586,50,21,16,6,10,21,0.369,0.45,0.1667,0.72,50
"8367",8367,"Win",23,14,5,2,21,0.4086,0.4667,0.1667,0.9545,50,17,14,8,4,24,0.3864,0.4821,0.2188,0.7857,51
"8368",8368,"Loss",17,14,8,4,24,0.3864,0.4821,0.2188,0.7857,51,23,14,5,2,21,0.4086,0.4667,0.1667,0.9545,50
"8369",8369,"Loss",27,16,9,7,28,0.5181,0.6111,0.3448,0.8214,25,30,15,9,2,23,0.6092,0.6875,0.3913,0.7941,46
"8370",8370,"Win",30,15,9,2,23,0.6092,0.6875,0.3913,0.7941,46,27,16,9,7,28,0.5181,0.6111,0.3448,0.8214,25
"8371",8371,"Win",20,14,2,15,27,0.443,0.4643,0.3913,0.8108,53,18,4,7,7,27,0.3452,0.371,0.2727,0.7647,34
"8372",8372,"Loss",18,4,7,7,27,0.3452,0.371,0.2727,0.7647,34,20,14,2,15,27,0.443,0.4643,0.3913,0.8108,53
"8373",8373,"Loss",17,10,5,2,18,0.3548,0.411,0.15,0.5652,48,11,14,7,9,22,0.4521,0.4727,0.3889,0.7241,47
